bond_lengths,bond_angles,torsions,rings,mol_name,source_file
0.375,0.6206896551724138,0.6818181818181818,,RDKit          3D,4z2g_A_rec_4z2g_m6v_lig_tt_docked_16.sdf
0.3870967741935484,0.6923076923076923,0.4,,RDKit          3D,4m7t_A_rec_4m7t_sam_lig_tt_min_0.sdf
0.35,0.375,0.75,0.0,RDKit          3D,3nfb_A_rec_3nfb_oae_lig_tt_docked_2.sdf
0.42857142857142855,0.36363636363636365,0.0,,RDKit          3D,3o96_A_rec_3o96_iqo_lig_tt_docked_2.sdf
0.23529411764705882,0.6428571428571429,,,RDKit          3D,3u9f_C_rec_3u9f_clm_lig_tt_min_0.sdf
0.6551724137931034,0.7727272727272727,0.5789473684210527,,RDKit          3D,4pxz_A_rec_4pxz_6ad_lig_tt_min_0.sdf
0.5652173913043478,0.7,,,RDKit          3D,1d7j_A_rec_1tco_fk5_lig_tt_docked_0.sdf
0.46153846153846156,0.46153846153846156,0.7272727272727273,0.0,RDKit          3D,4rn0_B_rec_4rn1_l8g_lig_tt_min_0.sdf
0.37037037037037035,0.43333333333333335,1.0,0.0,RDKit          3D,3daf_A_rec_3daf_feg_lig_tt_docked_0.sdf
0.5294117647058824,0.6428571428571429,0.5,,RDKit          3D,5aeh_A_rec_5aeh_8ir_lig_tt_docked_0.sdf
0.35714285714285715,0.3125,0.0,0.0,RDKit          3D,5liu_X_rec_4gq0_qap_lig_tt_min_0.sdf
0.36363636363636365,0.3333333333333333,,0.0,RDKit          3D,4kcq_A_rec_4cwv_hw8_lig_tt_min_0.sdf
0.4,0.42105263157894735,,,RDKit          3D,1coy_A_rec_1coy_and_lig_tt_docked_0.sdf
0.7333333333333333,0.4,,0.0,RDKit          3D,2pqw_A_rec_2rhy_mlz_lig_tt_min_0.sdf
0.3333333333333333,0.5,,0.0,RDKit          3D,3b6h_A_rec_3b6h_mxd_lig_tt_min_0.sdf
0.42105263157894735,0.4166666666666667,0.8333333333333334,0.0,RDKit          3D,4gvd_A_rec_4nxr_ans_lig_tt_min_0.sdf
0.36,0.38461538461538464,0.5,0.0,RDKit          3D,4aaw_A_rec_4ac3_r83_lig_tt_min_0.sdf
0.3157894736842105,0.3333333333333333,0.7,0.0,RDKit          3D,1l3l_A_rec_1l3l_lae_lig_tt_min_0.sdf
0.5555555555555556,0.7142857142857143,0.4444444444444444,,RDKit          3D,3pnm_A_rec_3pnq_2ha_lig_tt_docked_10.sdf
0.5517241379310345,0.40625,0.0,0.0,RDKit          3D,4zfa_A_rec_1smj_pam_lig_tt_min_0.sdf
0.6111111111111112,0.8333333333333334,0.25,,RDKit          3D,1h36_A_rec_1o79_r23_lig_tt_docked_5.sdf
0.36,0.3333333333333333,0.5,,RDKit          3D,4iiy_A_rec_3tle_gsu_lig_tt_docked_12.sdf
0.3076923076923077,0.2727272727272727,0.8,,RDKit          3D,2hcj_B_rec_2hcj_gdp_lig_tt_docked_0.sdf
0.6,0.1111111111111111,,0.0,RDKit          3D,2gns_A_rec_4qer_stl_lig_tt_min_0.sdf
0.4666666666666667,0.5384615384615384,,,RDKit          3D,4h3c_A_rec_5cqj_53q_lig_tt_docked_2.sdf
0.6666666666666666,0.65,0.6666666666666666,0.0,RDKit          3D,4azf_A_rec_5lxc_7aa_lig_tt_min_0.sdf
0.7777777777777778,0.64,0.8333333333333334,1.0,RDKit          3D,1a2g_A_rec_4jmv_1ly_lig_tt_min_0.sdf
0.2857142857142857,0.42857142857142855,0.0,0.0,RDKit          3D,4lfu_A_rec_4y13_480_lig_tt_min_0.sdf
0.375,0.5357142857142857,0.75,0.5,RDKit          3D,3jyh_A_rec_3n0t_opy_lig_tt_min_0.sdf
0.8181818181818182,0.5,,,RDKit          3D,5ngz_A_rec_5ngz_2bg_lig_tt_min_0.sdf
0.07142857142857142,0.5333333333333333,0.6,,RDKit          3D,2e6d_A_rec_2e6d_fum_lig_tt_min_0.sdf
0.5217391304347826,0.5714285714285714,1.0,0.0,RDKit          3D,4rlu_A_rec_4rlu_hcc_lig_tt_min_0.sdf
0.3448275862068966,0.3939393939393939,0.5454545454545454,1.0,RDKit          3D,4u5s_A_rec_4u54_3c5_lig_tt_min_0.sdf
0.44,0.4583333333333333,0.7,0.0,RDKit          3D,2v3r_A_rec_1dy4_snp_lig_tt_docked_1.sdf
